visitType,trapFunctioning,fishProcessed,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,counterAtEnd,visitTime,siteName,subSiteName,trapVisitID,includeCatch
continue trapping,not recorded,not recorded,4.4,4.4,NA,1998-03-20T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-20T09:45:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3,3,NA,1998-03-21T09:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.96,3.6,NA,1998-03-21T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-21T09:40:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,3.9,3.9,NA,1998-03-22T09:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,4.568181818181818,4.568181818181818,NA,1998-03-22T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-22T09:45:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,0,0,NA,1998-03-23T08:40:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,3.1,3.1,NA,1998-03-28T10:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,2.5,2.5,NA,1998-03-29T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,3.2,3.3,NA,1998-03-30T09:00:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,4.46,1.4,NA,1998-03-31T09:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,NA,NA,NA,1998-03-31T09:30:00Z,parrot-phelan,NA,NA,Yes
continue trapping,not recorded,not recorded,4.3,1.75,NA,1998-03-31T10:30:00Z,parrot-phelan,pp rst,NA,Yes
continue trapping,not recorded,not recorded,3.95,3.95,NA,1998-04-03T09:00:00Z,adams dam,adams dam,NA,Yes
continue trapping,not recorded,not recorded,3.475,3.475,NA,1998-04-03T09:00:00Z,parrot-phelan,pp rst,NA,Yes
